YEAR,"1,000 60 kilogram bags"
2005,"70,484"
2006,"83,694"
2007,"74,375"
2008,"85,109"
2009,"76,611"
2010,"87,101"
2011,"84,497"
2012,"92,872"
2013,"92,465"
2014,"86,608"
2015,"86,340"
2016,"101,036"
2017,"95,224"
2018,"105,644"
2019,"95,237"
2020,"102,094"
2021,"87,734"
